site_id,site_name,city,state,site_type,therapeutic_areas,pi_name,pi_experience_years,beds
Site-001,Boston Medical Center,Boston,MA,academic,Respiratory; Oncology,Dr. Michael Lee,19,137
Site-002,New York Medical Center,New York,NY,academic,Oncology; Neurology,Dr. Christopher Brown,12,435
Site-003,Philadelphia Medical Center,Philadelphia,PA,academic,Cardiology; Respiratory,Dr. Christopher Smith,16,219
Site-004,Chicago Medical Center,Chicago,IL,academic,Cardiology; Respiratory,Dr. Jessica Thomas,19,184
Site-005,Los Angeles Medical Center,Los Angeles,CA,academic,Neurology,Dr. Christopher Rodriguez,11,102
Site-006,Omaha Regional Hospital,Omaha,NE,community,Respiratory; Gastroenterology,Dr. Mary Lee,19,69
Site-007,Nashville Regional Hospital,Nashville,TN,community,Endocrinology; Neurology,Dr. Linda Brown,6,63
Site-008,Phoenix Regional Hospital,Phoenix,AZ,community,Endocrinology; Neurology,Dr. Mary Martinez,8,101
Site-009,Dallas Regional Hospital,Dallas,TX,community,Cardiology,Dr. Joseph Thompson,17,107
Site-010,Houston Medical Center,Houston,TX,academic,Cardiology,Dr. James Lopez,12,338
Site-011,Miami Regional Hospital,Miami,FL,community,Neurology; Endocrinology,Dr. Robert Martinez,11,81
Site-012,Atlanta Medical Center,Atlanta,GA,academic,Cardiology; Immunology,Dr. Lisa Jones,7,480
Site-013,Seattle Medical Center,Seattle,WA,academic,Cardiology; Immunology,Dr. Susan Williams,5,395
Site-014,Denver Regional Hospital,Denver,CO,community,Neurology,Dr. Elizabeth Wilson,23,48
Site-015,Portland Regional Hospital,Portland,OR,community,Neurology,Dr. Patricia Wilson,11,47
Site-016,San Diego Medical Center,San Diego,CA,academic,Endocrinology; Respiratory; Gastroenterology,Dr. Barbara Lopez,24,274
Site-017,San Francisco Medical Center,San Francisco,CA,academic,Endocrinology; Immunology; Cardiology,Dr. James Lee,17,274
Site-018,Minneapolis Medical Center,Minneapolis,MN,academic,Gastroenterology,Dr. Charles Martinez,16,491
Site-019,Detroit Medical Center,Detroit,MI,academic,Cardiology; Neurology,Dr. Karen Lopez,11,162
Site-020,Cleveland Medical Center,Cleveland,OH,academic,Immunology; Respiratory,Dr. Mary Johnson,9,247
Site-021,Boston Medical Center,Boston,MA,academic,Gastroenterology; Neurology,Dr. Daniel Brown,15,444
Site-022,Boston Medical Center,Boston,MA,academic,Oncology,Dr. Jessica Taylor,5,452
Site-023,Philadelphia Medical Center,Philadelphia,PA,academic,Endocrinology; Cardiology,Dr. John Martin,24,409
Site-024,Chicago Medical Center,Chicago,IL,academic,Oncology; Immunology; Gastroenterology,Dr. James Hernandez,22,109
Site-025,Los Angeles Medical Center,Los Angeles,CA,academic,Cardiology,Dr. Thomas Johnson,5,58
Site-026,Omaha Regional Hospital,Omaha,NE,community,Cardiology; Endocrinology,Dr. William Williams,23,123
Site-027,Nashville Regional Hospital,Nashville,TN,community,Respiratory,Dr. Karen Williams,20,73
Site-028,Phoenix Regional Hospital,Phoenix,AZ,community,Cardiology,Dr. John Taylor,13,147
Site-029,Dallas Regional Hospital,Dallas,TX,community,Oncology; Immunology,Dr. James Taylor,16,46
Site-030,Houston Medical Center,Houston,TX,academic,Respiratory; Cardiology,Dr. Mary Thompson,5,84
Site-031,Miami Regional Hospital,Miami,FL,community,Oncology; Immunology; Neurology,Dr. Thomas Moore,16,56
Site-032,Atlanta Medical Center,Atlanta,GA,academic,Cardiology; Endocrinology; Gastroenterology,Dr. Lisa Moore,18,465
Site-033,Seattle Medical Center,Seattle,WA,academic,Gastroenterology,Dr. Daniel Smith,7,163
Site-034,Denver Regional Hospital,Denver,CO,community,Endocrinology,Dr. Joseph White,6,62
Site-035,Portland Regional Hospital,Portland,OR,community,Endocrinology,Dr. Nancy Taylor,11,32
Site-036,San Diego Medical Center,San Diego,CA,academic,Cardiology,Dr. Michael Brown,17,141
Site-037,San Francisco Medical Center,San Francisco,CA,academic,Oncology; Neurology,Dr. Mary Johnson,23,391
Site-038,Minneapolis Medical Center,Minneapolis,MN,academic,Gastroenterology; Cardiology; Endocrinology,Dr. Thomas Lee,14,102
Site-039,Detroit Medical Center,Detroit,MI,academic,Gastroenterology; Oncology,Dr. Barbara Lopez,9,360
Site-040,Cleveland Medical Center,Cleveland,OH,academic,Respiratory; Gastroenterology; Endocrinology,Dr. Linda Lee,20,141
Site-041,Boston Medical Center,Boston,MA,academic,Immunology; Endocrinology,Dr. Daniel Jones,13,145
Site-042,New York Medical Center,New York,NY,academic,Immunology; Neurology; Gastroenterology,Dr. Nancy Taylor,12,125
Site-043,Philadelphia Medical Center,Philadelphia,PA,academic,Cardiology,Dr. Jessica Martin,9,143
Site-044,Chicago Medical Center,Chicago,IL,academic,Immunology; Respiratory,Dr. Susan Lee,9,271
Site-045,Los Angeles Medical Center,Los Angeles,CA,academic,Oncology; Endocrinology; Respiratory,Dr. Robert Harris,14,196
Site-046,Omaha Regional Hospital,Omaha,NE,community,Endocrinology; Respiratory,Dr. James Clark,9,143
Site-047,Nebraska Regional Cancer Center,Omaha,NE,community,Respiratory; Gastroenterology; Cardiology,Dr. James Smith,23,63
Site-048,Phoenix Regional Hospital,Phoenix,AZ,community,Immunology,Dr. Richard Lopez,18,27
Site-049,Dallas Regional Hospital,Dallas,TX,community,Gastroenterology,Dr. Elizabeth Johnson,23,139
Site-050,Houston Medical Center,Houston,TX,academic,Immunology,Dr. Patricia Thompson,8,145
Site-051,Miami Regional Hospital,Miami,FL,community,Immunology,Dr. Lisa Harris,9,36
Site-052,Atlanta Medical Center,Atlanta,GA,academic,Cardiology; Gastroenterology,Dr. Thomas Lee,20,452
Site-053,Seattle Medical Center,Seattle,WA,academic,Oncology; Respiratory; Endocrinology,Dr. Barbara Rodriguez,11,422
Site-054,Denver Regional Hospital,Denver,CO,community,Respiratory; Cardiology,Dr. Robert Williams,16,76
Site-055,Portland Regional Hospital,Portland,OR,community,Gastroenterology; Oncology; Immunology,Dr. Michael Wilson,14,94
Site-056,San Diego Medical Center,San Diego,CA,academic,Neurology; Respiratory,Dr. Sarah Thomas,16,223
Site-057,San Francisco Medical Center,San Francisco,CA,academic,Endocrinology; Gastroenterology,Dr. Richard Davis,14,471
Site-058,Minneapolis Medical Center,Minneapolis,MN,academic,Cardiology; Endocrinology; Gastroenterology,Dr. Charles Davis,20,350
Site-059,Detroit Medical Center,Detroit,MI,academic,Respiratory; Oncology,Dr. Patricia Brown,10,251
Site-060,Cleveland Medical Center,Cleveland,OH,academic,Endocrinology,Dr. Charles Miller,7,410
Site-061,Boston Medical Center,Boston,MA,academic,Neurology; Cardiology,Dr. Michael Smith,7,466
Site-062,New York Medical Center,New York,NY,academic,Immunology; Cardiology; Oncology,Dr. Jennifer Thompson,10,423
Site-063,Philadelphia Medical Center,Philadelphia,PA,academic,Respiratory,Dr. Christopher Hernandez,9,354
Site-064,Chicago Medical Center,Chicago,IL,academic,Endocrinology; Immunology,Dr. Susan Thomas,5,321
Site-065,Los Angeles Medical Center,Los Angeles,CA,academic,Oncology,Dr. Linda Garcia,16,235
Site-066,Omaha Regional Hospital,Omaha,NE,community,Cardiology,Dr. Sarah Jones,13,65
Site-067,Nashville Regional Hospital,Nashville,TN,community,Respiratory; Neurology,Dr. John Garcia,22,128
Site-068,Phoenix Regional Hospital,Phoenix,AZ,community,Endocrinology; Immunology,Dr. Robert Harris,5,105
Site-069,Dallas Regional Hospital,Dallas,TX,community,Respiratory; Cardiology,Dr. Thomas Wilson,5,114
Site-070,Houston Medical Center,Houston,TX,academic,Neurology; Oncology,Dr. Robert Garcia,7,194
Site-071,Miami Regional Hospital,Miami,FL,community,Gastroenterology,Dr. Christopher Anderson,13,132
Site-072,Atlanta Medical Center,Atlanta,GA,academic,Oncology,Dr. Linda Johnson,12,498
Site-073,Seattle Medical Center,Seattle,WA,academic,Cardiology,Dr. Nancy Lopez,9,456
Site-074,Denver Regional Hospital,Denver,CO,community,Oncology; Gastroenterology,Dr. Joseph Jones,18,117
Site-075,Portland Regional Hospital,Portland,OR,community,Endocrinology; Cardiology; Neurology,Dr. Sarah Thomas,23,49
Site-076,San Diego Medical Center,San Diego,CA,academic,Neurology; Gastroenterology,Dr. Daniel Martinez,23,322
Site-077,San Francisco Medical Center,San Francisco,CA,academic,Immunology; Oncology; Neurology,Dr. Karen Clark,9,289
Site-078,Minneapolis Medical Center,Minneapolis,MN,academic,Cardiology,Dr. David Martin,19,401
Site-079,Detroit Medical Center,Detroit,MI,academic,Neurology,Dr. John Jackson,23,454
Site-080,Cleveland Medical Center,Cleveland,OH,academic,Immunology; Neurology,Dr. Jennifer Smith,9,350
Site-081,Boston Medical Center,Boston,MA,academic,Gastroenterology; Immunology,Dr. William Thomas,19,162
Site-082,New York Medical Center,New York,NY,academic,Oncology; Endocrinology,Dr. John Lee,19,265
Site-083,Philadelphia Medical Center,Philadelphia,PA,academic,Immunology,Dr. Mary Wilson,18,343
Site-084,Chicago Medical Center,Chicago,IL,academic,Respiratory,Dr. John Martin,19,322
Site-085,Los Angeles Medical Center,Los Angeles,CA,academic,Neurology,Dr. Michael White,16,282
Site-086,Omaha Regional Hospital,Omaha,NE,community,Endocrinology; Gastroenterology,Dr. Richard Jackson,19,120
Site-087,Nashville Regional Hospital,Nashville,TN,community,Cardiology,Dr. Jennifer Lee,6,40
Site-088,Phoenix Regional Hospital,Phoenix,AZ,community,Cardiology,Dr. Jennifer Garcia,20,50
Site-089,Dallas Regional Hospital,Dallas,TX,community,Oncology; Gastroenterology; Neurology,Dr. Linda Jones,8,98
Site-090,Houston Medical Center,Houston,TX,academic,Immunology; Endocrinology,Dr. Jennifer White,21,441
Site-091,Miami Regional Hospital,Miami,FL,community,Endocrinology,Dr. Charles Wilson,16,132
Site-092,Atlanta Medical Center,Atlanta,GA,academic,Cardiology; Immunology,Dr. Barbara Thomas,5,308
Site-093,Seattle Medical Center,Seattle,WA,academic,Neurology; Gastroenterology,Dr. James Garcia,22,179
Site-094,Denver Regional Hospital,Denver,CO,community,Immunology,Dr. Karen Smith,9,88
Site-095,Portland Regional Hospital,Portland,OR,community,Endocrinology; Respiratory; Gastroenterology,Dr. Barbara Jackson,18,20
Site-096,San Diego Medical Center,San Diego,CA,academic,Gastroenterology; Oncology; Neurology,Dr. Linda White,12,214
Site-097,San Francisco Medical Center,San Francisco,CA,academic,Neurology; Gastroenterology,Dr. Robert Martin,18,345
Site-098,Minneapolis Medical Center,Minneapolis,MN,academic,Cardiology; Respiratory,Dr. Linda Miller,12,202
Site-099,Detroit Medical Center,Detroit,MI,academic,Oncology; Cardiology,Dr. Thomas Smith,19,183
Site-100,Cleveland Medical Center,Cleveland,OH,academic,Neurology; Respiratory,Dr. John Miller,23,460
Site-101,Boston Medical Center,Boston,MA,academic,Respiratory; Gastroenterology,Dr. Patricia Garcia,5,54
Site-102,New York Medical Center,New York,NY,academic,Cardiology; Oncology,Dr. Elizabeth Smith,10,185
Site-103,Philadelphia Medical Center,Philadelphia,PA,academic,Immunology; Oncology,Dr. Robert Thomas,8,332
Site-104,Chicago Medical Center,Chicago,IL,academic,Oncology; Immunology; Neurology,Dr. Robert Lee,15,267
Site-105,Los Angeles Medical Center,Los Angeles,CA,academic,Endocrinology; Cardiology,Dr. Richard Davis,22,342
Site-106,Omaha Regional Hospital,Omaha,NE,community,Immunology; Endocrinology,Dr. Linda Martinez,21,60
Site-107,Nashville Regional Hospital,Nashville,TN,community,Gastroenterology,Dr. Nancy Hernandez,5,20
Site-108,Phoenix Regional Hospital,Phoenix,AZ,community,Immunology; Neurology,Dr. Nancy Harris,23,76
Site-109,Dallas Regional Hospital,Dallas,TX,community,Endocrinology; Gastroenterology,Dr. Christopher Rodriguez,7,110
Site-110,Houston Medical Center,Houston,TX,academic,Neurology; Endocrinology; Gastroenterology,Dr. Thomas Hernandez,16,210
Site-111,Miami Regional Hospital,Miami,FL,community,Neurology; Cardiology,Dr. Thomas Hernandez,22,137
Site-112,Atlanta Medical Center,Atlanta,GA,academic,Oncology,Dr. Nancy Davis,21,81
Site-113,Seattle Medical Center,Seattle,WA,academic,Respiratory; Immunology,Dr. Thomas Wilson,20,162
Site-114,Denver Regional Hospital,Denver,CO,community,Gastroenterology,Dr. Sarah Garcia,23,129
Site-115,Portland Regional Hospital,Portland,OR,community,Cardiology; Respiratory; Endocrinology,Dr. Mary Smith,22,91
Site-116,San Diego Medical Center,San Diego,CA,academic,Gastroenterology,Dr. Nancy Thomas,9,169
Site-117,San Francisco Medical Center,San Francisco,CA,academic,Immunology; Oncology,Dr. Susan Hernandez,20,481
Site-118,Minneapolis Medical Center,Minneapolis,MN,academic,Cardiology,Dr. Sarah Miller,14,85
Site-119,Detroit Medical Center,Detroit,MI,academic,Gastroenterology; Oncology; Endocrinology,Dr. Sarah Johnson,5,168
Site-120,Cleveland Medical Center,Cleveland,OH,academic,Immunology; Endocrinology,Dr. Barbara Lee,9,391
Site-121,Boston Medical Center,Boston,MA,academic,Immunology; Endocrinology; Gastroenterology,Dr. Barbara Clark,21,63
Site-122,New York Medical Center,New York,NY,academic,Respiratory; Endocrinology,Dr. William Davis,6,78
Site-123,Philadelphia Medical Center,Philadelphia,PA,academic,Neurology,Dr. Richard Johnson,9,83
Site-124,Chicago Medical Center,Chicago,IL,academic,Immunology; Neurology; Oncology,Dr. Thomas Jones,10,362
Site-125,Los Angeles Medical Center,Los Angeles,CA,academic,Neurology; Respiratory,Dr. Jennifer Davis,6,239
Site-126,Omaha Regional Hospital,Omaha,NE,community,Respiratory,Dr. Susan Johnson,15,30
Site-127,Nashville Regional Hospital,Nashville,TN,community,Oncology; Endocrinology,Dr. Linda Hernandez,8,88
Site-128,Phoenix Regional Hospital,Phoenix,AZ,community,Endocrinology; Cardiology,Dr. Lisa Smith,8,128
Site-129,Dallas Regional Hospital,Dallas,TX,community,Cardiology; Neurology,Dr. David Johnson,13,80
Site-130,Houston Medical Center,Houston,TX,academic,Immunology; Endocrinology,Dr. David Davis,14,151
Site-131,Miami Regional Hospital,Miami,FL,community,Respiratory; Cardiology,Dr. Mary Lopez,23,76
Site-132,Atlanta Medical Center,Atlanta,GA,academic,Immunology,Dr. Daniel Moore,19,247
Site-133,Seattle Medical Center,Seattle,WA,academic,Respiratory,Dr. Linda Jackson,16,315
Site-134,Denver Regional Hospital,Denver,CO,community,Immunology,Dr. Jessica Miller,21,136
Site-135,Portland Regional Hospital,Portland,OR,community,Oncology; Immunology; Respiratory,Dr. Michael Rodriguez,23,135
Site-136,San Diego Medical Center,San Diego,CA,academic,Endocrinology; Cardiology,Dr. Michael Williams,22,180
Site-137,San Francisco Medical Center,San Francisco,CA,academic,Neurology; Cardiology,Dr. Robert Hernandez,12,458
Site-138,Minneapolis Medical Center,Minneapolis,MN,academic,Oncology; Endocrinology; Respiratory,Dr. Richard Jackson,5,83
Site-139,Detroit Medical Center,Detroit,MI,academic,Respiratory; Endocrinology,Dr. Daniel Wilson,17,367
Site-140,Cleveland Medical Center,Cleveland,OH,academic,Immunology; Neurology; Respiratory,Dr. Christopher Lopez,20,408
Site-141,Boston Medical Center,Boston,MA,academic,Oncology,Dr. Karen Jones,5,342
Site-142,New York Medical Center,New York,NY,academic,Endocrinology,Dr. Jessica Smith,18,342
Site-143,Philadelphia Medical Center,Philadelphia,PA,academic,Endocrinology; Immunology; Oncology,Dr. Robert Hernandez,10,202
Site-144,Chicago Medical Center,Chicago,IL,academic,Gastroenterology,Dr. Michael Lee,8,379
Site-145,Los Angeles Medical Center,Los Angeles,CA,academic,Gastroenterology,Dr. David Johnson,13,264
Site-146,Omaha Regional Hospital,Omaha,NE,community,Gastroenterology; Immunology,Dr. Thomas Rodriguez,7,101
Site-147,Nashville Regional Hospital,Nashville,TN,community,Cardiology; Immunology; Oncology,Dr. Thomas Clark,7,87
Site-148,Phoenix Regional Hospital,Phoenix,AZ,community,Cardiology; Respiratory,Dr. Susan Jones,6,95
Site-149,Dallas Regional Hospital,Dallas,TX,community,Oncology; Immunology,Dr. Elizabeth Rodriguez,19,91
Site-150,Houston Medical Center,Houston,TX,academic,Cardiology,Dr. Robert Taylor,22,163
Site-151,Miami Regional Hospital,Miami,FL,community,Respiratory; Gastroenterology; Immunology,Dr. Linda Wilson,23,99
Site-152,Atlanta Medical Center,Atlanta,GA,academic,Immunology; Gastroenterology,Dr. Linda Smith,20,240
Site-153,Seattle Medical Center,Seattle,WA,academic,Respiratory; Gastroenterology; Immunology,Dr. Jennifer Miller,9,443
Site-154,Denver Regional Hospital,Denver,CO,community,Gastroenterology,Dr. David Thompson,11,32
Site-155,Portland Regional Hospital,Portland,OR,community,Respiratory; Neurology,Dr. Susan Moore,13,89
Site-156,San Diego Medical Center,San Diego,CA,academic,Endocrinology; Oncology,Dr. Charles Miller,14,327
Site-157,San Francisco Medical Center,San Francisco,CA,academic,Gastroenterology,Dr. Patricia Lee,8,423
Site-158,Minneapolis Medical Center,Minneapolis,MN,academic,Cardiology; Oncology; Neurology,Dr. James White,22,485
Site-159,Detroit Medical Center,Detroit,MI,academic,Oncology; Immunology; Endocrinology,Dr. Barbara Miller,15,479
Site-160,Cleveland Medical Center,Cleveland,OH,academic,Immunology,Dr. Mary Brown,21,133
Site-161,Boston Medical Center,Boston,MA,academic,Respiratory; Cardiology; Neurology,Dr. Nancy Hernandez,7,406
Site-162,New York Medical Center,New York,NY,academic,Respiratory,Dr. Karen Garcia,23,211
Site-163,Philadelphia Medical Center,Philadelphia,PA,academic,Endocrinology; Respiratory,Dr. John Moore,16,142
Site-164,Chicago Medical Center,Chicago,IL,academic,Endocrinology; Gastroenterology,Dr. Christopher Davis,19,365
Site-165,Los Angeles Medical Center,Los Angeles,CA,academic,Neurology; Immunology,Dr. John Lee,18,481
Site-166,Omaha Regional Hospital,Omaha,NE,community,Gastroenterology; Cardiology,Dr. Nancy White,6,83
