site_id,site_name,city,state,site_type,therapeutic_areas,pi_name,pi_experience_years,beds
Site-333,Seattle Medical Center,Seattle,WA,academic,Endocrinology; Oncology; Neurology,Dr. Barbara Lopez,24,495
Site-334,Denver Regional Hospital,Denver,CO,community,Endocrinology; Immunology,Dr. Lisa Harris,19,101
Site-335,Portland Regional Hospital,Portland,OR,community,Cardiology; Respiratory,Dr. Charles Thomas,19,100
Site-336,San Diego Medical Center,San Diego,CA,academic,Cardiology,Dr. Thomas Smith,12,238
Site-337,San Francisco Medical Center,San Francisco,CA,academic,Oncology; Immunology,Dr. Daniel Taylor,22,347
Site-338,Minneapolis Medical Center,Minneapolis,MN,academic,Immunology; Endocrinology; Gastroenterology,Dr. Christopher Taylor,16,68
Site-339,Detroit Medical Center,Detroit,MI,academic,Cardiology,Dr. Sarah Davis,21,50
Site-340,Cleveland Medical Center,Cleveland,OH,academic,Respiratory; Cardiology,Dr. Joseph Jones,17,84
Site-341,Boston Medical Center,Boston,MA,academic,Oncology; Cardiology,Dr. Mary Davis,13,237
Site-342,New York Medical Center,New York,NY,academic,Endocrinology,Dr. Richard Wilson,6,211
Site-343,Philadelphia Medical Center,Philadelphia,PA,academic,Respiratory,Dr. Elizabeth Taylor,10,339
Site-344,Chicago Medical Center,Chicago,IL,academic,Cardiology,Dr. Michael Williams,12,370
Site-345,Los Angeles Medical Center,Los Angeles,CA,academic,Respiratory; Immunology,Dr. Thomas Rodriguez,17,386
Site-346,Omaha Regional Hospital,Omaha,NE,community,Oncology; Neurology,Dr. Daniel Harris,14,129
Site-347,Nashville Regional Hospital,Nashville,TN,community,Oncology; Cardiology,Dr. Karen Thompson,19,31
Site-348,Phoenix Regional Hospital,Phoenix,AZ,community,Gastroenterology,Dr. Daniel Anderson,6,112
Site-349,Dallas Regional Hospital,Dallas,TX,community,Neurology; Gastroenterology; Respiratory,Dr. Sarah White,10,140
Site-350,Houston Medical Center,Houston,TX,academic,Neurology; Oncology,Dr. James Hernandez,23,356
Site-351,Miami Regional Hospital,Miami,FL,community,Respiratory; Gastroenterology,Dr. Richard Martin,21,79
Site-352,Atlanta Medical Center,Atlanta,GA,academic,Cardiology,Dr. Lisa Harris,14,73
Site-353,Seattle Medical Center,Seattle,WA,academic,Cardiology; Immunology,Dr. Barbara Hernandez,21,189
Site-354,Denver Regional Hospital,Denver,CO,community,Endocrinology; Cardiology,Dr. Robert Martinez,21,124
Site-355,Portland Regional Hospital,Portland,OR,community,Gastroenterology; Neurology,Dr. Michael Rodriguez,17,73
Site-356,San Diego Medical Center,San Diego,CA,academic,Neurology; Immunology,Dr. Lisa White,5,313
Site-357,San Francisco Medical Center,San Francisco,CA,academic,Endocrinology; Neurology,Dr. Michael Brown,22,114
Site-358,Minneapolis Medical Center,Minneapolis,MN,academic,Endocrinology; Immunology,Dr. Patricia Thompson,15,123
Site-359,Detroit Medical Center,Detroit,MI,academic,Endocrinology; Neurology; Gastroenterology,Dr. Susan Wilson,9,212
Site-360,Cleveland Medical Center,Cleveland,OH,academic,Gastroenterology; Cardiology,Dr. John Thomas,10,427
Site-361,Boston Medical Center,Boston,MA,academic,Respiratory; Endocrinology,Dr. Jennifer Smith,24,230
Site-362,New York Medical Center,New York,NY,academic,Immunology,Dr. Elizabeth Thomas,13,56
Site-363,Philadelphia Medical Center,Philadelphia,PA,academic,Cardiology; Oncology,Dr. Karen Lopez,20,209
Site-364,Chicago Medical Center,Chicago,IL,academic,Cardiology; Oncology,Dr. David Davis,5,206
Site-365,Los Angeles Medical Center,Los Angeles,CA,academic,Oncology; Neurology,Dr. Mary Johnson,17,442
Site-366,Omaha Regional Hospital,Omaha,NE,community,Respiratory; Cardiology,Dr. Daniel Jones,24,125
Site-367,Nashville Regional Hospital,Nashville,TN,community,Cardiology,Dr. Elizabeth Wilson,23,68
Site-368,Phoenix Regional Hospital,Phoenix,AZ,community,Endocrinology,Dr. Joseph Lee,10,133
Site-369,Dallas Regional Hospital,Dallas,TX,community,Gastroenterology,Dr. Robert Lee,24,34
Site-370,Houston Medical Center,Houston,TX,academic,Oncology; Neurology,Dr. Christopher Anderson,9,446
Site-371,Miami Regional Hospital,Miami,FL,community,Cardiology,Dr. John Garcia,12,69
Site-372,Atlanta Medical Center,Atlanta,GA,academic,Oncology,Dr. David Lopez,10,495
Site-373,Seattle Medical Center,Seattle,WA,academic,Oncology; Gastroenterology,Dr. Barbara Hernandez,9,157
Site-374,Denver Regional Hospital,Denver,CO,community,Immunology; Gastroenterology; Oncology,Dr. Charles Johnson,21,27
Site-375,Portland Regional Hospital,Portland,OR,community,Gastroenterology; Respiratory,Dr. Patricia Thomas,5,112
Site-376,San Diego Medical Center,San Diego,CA,academic,Neurology; Oncology; Cardiology,Dr. Nancy Lopez,13,220
Site-377,San Francisco Medical Center,San Francisco,CA,academic,Gastroenterology; Immunology,Dr. Christopher Clark,14,413
Site-378,Minneapolis Medical Center,Minneapolis,MN,academic,Immunology; Endocrinology; Oncology,Dr. Richard Wilson,14,138
Site-379,Detroit Medical Center,Detroit,MI,academic,Cardiology; Immunology,Dr. Michael Moore,7,140
Site-380,Cleveland Medical Center,Cleveland,OH,academic,Oncology; Respiratory; Cardiology,Dr. Susan Moore,22,498
Site-381,Boston Medical Center,Boston,MA,academic,Respiratory; Immunology; Oncology,Dr. Sarah Smith,17,438
Site-382,New York Medical Center,New York,NY,academic,Respiratory; Cardiology,Dr. James Moore,6,484
Site-383,Philadelphia Medical Center,Philadelphia,PA,academic,Cardiology; Oncology,Dr. Christopher Williams,16,376
Site-384,Chicago Medical Center,Chicago,IL,academic,Endocrinology; Neurology,Dr. Linda Jones,18,441
Site-385,Los Angeles Medical Center,Los Angeles,CA,academic,Gastroenterology; Endocrinology,Dr. William Taylor,23,470
Site-386,Omaha Regional Hospital,Omaha,NE,community,Neurology; Respiratory; Oncology,Dr. James Williams,19,43
Site-387,Nashville Regional Hospital,Nashville,TN,community,Cardiology; Respiratory,Dr. Elizabeth Brown,7,114
Site-388,Phoenix Regional Hospital,Phoenix,AZ,community,Immunology,Dr. Christopher Rodriguez,10,105
Site-389,Dallas Regional Hospital,Dallas,TX,community,Cardiology,Dr. Joseph Brown,16,77
Site-390,Houston Medical Center,Houston,TX,academic,Gastroenterology; Immunology; Cardiology,Dr. Sarah Jones,20,88
Site-391,Miami Regional Hospital,Miami,FL,community,Oncology; Endocrinology,Dr. Jessica Clark,12,28
Site-392,Atlanta Medical Center,Atlanta,GA,academic,Cardiology; Endocrinology,Dr. Thomas Hernandez,14,454
Site-393,Seattle Medical Center,Seattle,WA,academic,Cardiology; Respiratory,Dr. Robert Garcia,21,137
Site-394,Denver Regional Hospital,Denver,CO,community,Endocrinology; Cardiology,Dr. Mary Davis,19,145
Site-395,Portland Regional Hospital,Portland,OR,community,Cardiology,Dr. Thomas Johnson,13,100
Site-396,San Diego Medical Center,San Diego,CA,academic,Immunology; Endocrinology,Dr. Thomas Lopez,20,149
Site-397,San Francisco Medical Center,San Francisco,CA,academic,Gastroenterology,Dr. Patricia Jackson,21,238
Site-398,Minneapolis Medical Center,Minneapolis,MN,academic,Cardiology; Endocrinology,Dr. Daniel Brown,23,332
Site-399,Detroit Medical Center,Detroit,MI,academic,Cardiology,Dr. Jessica Garcia,12,138
Site-400,Cleveland Medical Center,Cleveland,OH,academic,Immunology,Dr. Karen Brown,16,489
Site-401,Boston Medical Center,Boston,MA,academic,Endocrinology; Respiratory; Oncology,Dr. Daniel Williams,22,61
Site-402,New York Medical Center,New York,NY,academic,Neurology; Cardiology,Dr. Christopher Hernandez,9,383
Site-403,Philadelphia Medical Center,Philadelphia,PA,academic,Gastroenterology,Dr. Robert White,5,96
Site-404,Chicago Medical Center,Chicago,IL,academic,Endocrinology; Oncology,Dr. Michael Brown,5,297
Site-405,Los Angeles Medical Center,Los Angeles,CA,academic,Neurology; Immunology; Respiratory,Dr. Karen Clark,22,66
Site-406,Omaha Regional Hospital,Omaha,NE,community,Immunology; Neurology; Gastroenterology,Dr. Mary Garcia,9,90
Site-407,Nashville Regional Hospital,Nashville,TN,community,Oncology; Neurology,Dr. John Martinez,6,58
Site-408,Phoenix Regional Hospital,Phoenix,AZ,community,Cardiology,Dr. Joseph Garcia,24,85
Site-409,Dallas Regional Hospital,Dallas,TX,community,Gastroenterology; Immunology,Dr. Christopher Johnson,7,119
Site-410,Houston Medical Center,Houston,TX,academic,Gastroenterology,Dr. Mary Brown,5,484
Site-411,Miami Regional Hospital,Miami,FL,community,Cardiology; Neurology,Dr. Jessica Thompson,8,87
Site-412,Atlanta Medical Center,Atlanta,GA,academic,Neurology; Respiratory,Dr. Michael Moore,13,155
Site-413,Seattle Medical Center,Seattle,WA,academic,Endocrinology,Dr. Jennifer Taylor,10,176
Site-414,Denver Regional Hospital,Denver,CO,community,Endocrinology; Immunology,Dr. Joseph Thomas,8,140
Site-415,Portland Regional Hospital,Portland,OR,community,Respiratory; Cardiology,Dr. William Martinez,22,66
Site-416,San Diego Medical Center,San Diego,CA,academic,Oncology,Dr. James Anderson,9,363
Site-417,San Francisco Medical Center,San Francisco,CA,academic,Immunology,Dr. James Hernandez,20,213
Site-418,Minneapolis Medical Center,Minneapolis,MN,academic,Gastroenterology; Immunology,Dr. Richard Clark,18,258
Site-419,Detroit Medical Center,Detroit,MI,academic,Neurology; Endocrinology,Dr. William Garcia,15,186
Site-420,Cleveland Medical Center,Cleveland,OH,academic,Oncology; Respiratory,Dr. Sarah Clark,6,469
Site-421,Boston Medical Center,Boston,MA,academic,Immunology; Endocrinology,Dr. Sarah Hernandez,9,309
Site-422,New York Medical Center,New York,NY,academic,Endocrinology; Cardiology,Dr. Nancy Miller,15,471
Site-423,Philadelphia Medical Center,Philadelphia,PA,academic,Neurology,Dr. Sarah Smith,10,158
Site-424,Chicago Medical Center,Chicago,IL,academic,Respiratory,Dr. Joseph Lee,23,283
Site-425,Los Angeles Medical Center,Los Angeles,CA,academic,Oncology; Neurology; Cardiology,Dr. Daniel Thompson,24,226
Site-426,Omaha Regional Hospital,Omaha,NE,community,Immunology; Respiratory; Neurology,Dr. Elizabeth Miller,20,54
Site-427,Nashville Regional Hospital,Nashville,TN,community,Respiratory; Gastroenterology; Endocrinology,Dr. Michael White,13,76
Site-428,Phoenix Regional Hospital,Phoenix,AZ,community,Cardiology; Oncology,Dr. Nancy Rodriguez,19,123
Site-429,Dallas Regional Hospital,Dallas,TX,community,Neurology; Immunology,Dr. Christopher Johnson,9,141
Site-430,Houston Medical Center,Houston,TX,academic,Endocrinology,Dr. Elizabeth Thomas,23,296
Site-431,Miami Regional Hospital,Miami,FL,community,Cardiology; Endocrinology,Dr. Joseph White,23,52
Site-432,Atlanta Medical Center,Atlanta,GA,academic,Immunology; Neurology,Dr. James Martin,7,190
Site-433,Seattle Medical Center,Seattle,WA,academic,Cardiology,Dr. Nancy Smith,6,344
Site-434,Denver Regional Hospital,Denver,CO,community,Immunology,Dr. Lisa Moore,11,122
Site-435,Portland Regional Hospital,Portland,OR,community,Cardiology; Immunology,Dr. Christopher Smith,21,48
Site-436,San Diego Medical Center,San Diego,CA,academic,Neurology,Dr. Christopher Hernandez,20,385
Site-437,San Francisco Medical Center,San Francisco,CA,academic,Gastroenterology; Cardiology,Dr. William Martin,16,474
Site-438,Minneapolis Medical Center,Minneapolis,MN,academic,Neurology,Dr. Richard Thomas,7,433
Site-439,Detroit Medical Center,Detroit,MI,academic,Cardiology; Endocrinology; Respiratory,Dr. Jessica Johnson,12,222
Site-440,Cleveland Medical Center,Cleveland,OH,academic,Respiratory; Oncology; Cardiology,Dr. Sarah Johnson,17,372
Site-441,Boston Medical Center,Boston,MA,academic,Oncology; Cardiology,Dr. Charles Williams,18,156
Site-442,New York Medical Center,New York,NY,academic,Respiratory; Endocrinology,Dr. David Johnson,21,458
Site-443,Philadelphia Medical Center,Philadelphia,PA,academic,Respiratory; Neurology,Dr. Patricia Davis,13,260
Site-444,Chicago Medical Center,Chicago,IL,academic,Gastroenterology; Immunology,Dr. Barbara Miller,13,436
Site-445,Los Angeles Medical Center,Los Angeles,CA,academic,Neurology; Oncology,Dr. Christopher Brown,14,318
Site-446,Omaha Regional Hospital,Omaha,NE,community,Respiratory,Dr. David White,20,63
Site-447,Nashville Regional Hospital,Nashville,TN,community,Endocrinology,Dr. David Thomas,20,81
Site-448,Phoenix Regional Hospital,Phoenix,AZ,community,Gastroenterology; Immunology,Dr. Thomas Garcia,19,141
Site-449,Dallas Regional Hospital,Dallas,TX,community,Gastroenterology; Oncology; Neurology,Dr. Susan Wilson,8,89
Site-450,Houston Medical Center,Houston,TX,academic,Respiratory; Cardiology,Dr. Lisa Lee,9,119
Site-451,Miami Regional Hospital,Miami,FL,community,Neurology; Endocrinology,Dr. Christopher Williams,19,123
Site-452,Atlanta Medical Center,Atlanta,GA,academic,Respiratory; Gastroenterology; Cardiology,Dr. Richard Garcia,22,76
Site-453,Seattle Medical Center,Seattle,WA,academic,Respiratory; Immunology; Oncology,Dr. Karen Lopez,15,212
Site-454,Denver Regional Hospital,Denver,CO,community,Gastroenterology,Dr. Joseph Taylor,17,67
Site-455,Portland Regional Hospital,Portland,OR,community,Gastroenterology,Dr. Christopher Williams,10,118
Site-456,San Diego Medical Center,San Diego,CA,academic,Gastroenterology; Respiratory; Endocrinology,Dr. John Taylor,9,432
Site-457,San Francisco Medical Center,San Francisco,CA,academic,Cardiology; Respiratory,Dr. Charles Hernandez,6,457
Site-458,Minneapolis Medical Center,Minneapolis,MN,academic,Immunology; Cardiology,Dr. David Anderson,6,99
Site-459,Detroit Medical Center,Detroit,MI,academic,Cardiology; Gastroenterology,Dr. Patricia White,21,451
Site-460,Cleveland Medical Center,Cleveland,OH,academic,Cardiology,Dr. Daniel White,22,108
Site-461,Boston Medical Center,Boston,MA,academic,Endocrinology; Respiratory,Dr. William White,14,291
Site-462,New York Medical Center,New York,NY,academic,Respiratory,Dr. Joseph Moore,18,256
Site-463,Philadelphia Medical Center,Philadelphia,PA,academic,Respiratory; Gastroenterology; Oncology,Dr. Barbara Davis,24,371
Site-464,Chicago Medical Center,Chicago,IL,academic,Oncology; Gastroenterology,Dr. Robert Moore,10,197
Site-465,Los Angeles Medical Center,Los Angeles,CA,academic,Cardiology; Gastroenterology,Dr. Linda Davis,21,288
Site-466,Omaha Regional Hospital,Omaha,NE,community,Respiratory; Gastroenterology; Neurology,Dr. Lisa Taylor,13,138
Site-467,Nashville Regional Hospital,Nashville,TN,community,Neurology; Cardiology,Dr. Linda Thomas,18,61
Site-468,Phoenix Regional Hospital,Phoenix,AZ,community,Oncology; Respiratory,Dr. Charles Anderson,15,69
Site-469,Dallas Regional Hospital,Dallas,TX,community,Respiratory,Dr. Jennifer Clark,14,59
Site-470,Houston Medical Center,Houston,TX,academic,Gastroenterology,Dr. Linda Davis,16,77
Site-471,Miami Regional Hospital,Miami,FL,community,Oncology,Dr. Thomas Brown,17,146
Site-472,Atlanta Medical Center,Atlanta,GA,academic,Oncology; Gastroenterology; Cardiology,Dr. Lisa Clark,6,473
Site-473,Seattle Medical Center,Seattle,WA,academic,Cardiology,Dr. Susan Clark,7,362
Site-474,Denver Regional Hospital,Denver,CO,community,Gastroenterology; Immunology,Dr. Daniel Martinez,6,125
Site-475,Portland Regional Hospital,Portland,OR,community,Respiratory; Endocrinology,Dr. Joseph Thomas,11,96
Site-476,San Diego Medical Center,San Diego,CA,academic,Endocrinology; Respiratory,Dr. Jessica Rodriguez,16,488
Site-477,San Francisco Medical Center,San Francisco,CA,academic,Immunology,Dr. Michael Brown,12,237
Site-478,Minneapolis Medical Center,Minneapolis,MN,academic,Gastroenterology; Immunology; Respiratory,Dr. Susan White,8,169
Site-479,Detroit Medical Center,Detroit,MI,academic,Oncology,Dr. Christopher Williams,7,367
Site-480,Cleveland Medical Center,Cleveland,OH,academic,Cardiology; Endocrinology; Respiratory,Dr. Jennifer Anderson,7,304
Site-481,Boston Medical Center,Boston,MA,academic,Oncology,Dr. Robert Lee,13,437
Site-482,New York Medical Center,New York,NY,academic,Respiratory; Neurology,Dr. Richard Wilson,14,434
Site-483,Philadelphia Medical Center,Philadelphia,PA,academic,Oncology,Dr. Joseph Wilson,21,313
Site-484,Chicago Medical Center,Chicago,IL,academic,Respiratory,Dr. Joseph Wilson,11,295
Site-485,Los Angeles Medical Center,Los Angeles,CA,academic,Respiratory; Immunology; Neurology,Dr. Sarah Moore,11,143
Site-486,Omaha Regional Hospital,Omaha,NE,community,Endocrinology; Respiratory,Dr. Christopher Taylor,21,147
Site-487,Nashville Regional Hospital,Nashville,TN,community,Respiratory; Cardiology; Endocrinology,Dr. Karen Smith,24,28
Site-488,Phoenix Regional Hospital,Phoenix,AZ,community,Immunology; Endocrinology,Dr. Joseph Lopez,5,61
Site-489,Dallas Regional Hospital,Dallas,TX,community,Endocrinology,Dr. Charles Hernandez,11,75
Site-490,Houston Medical Center,Houston,TX,academic,Cardiology; Immunology,Dr. Jennifer White,22,188
Site-491,Miami Regional Hospital,Miami,FL,community,Endocrinology,Dr. Lisa Moore,23,47
Site-492,Atlanta Medical Center,Atlanta,GA,academic,Gastroenterology; Endocrinology; Neurology,Dr. Mary Garcia,9,107
Site-493,Seattle Medical Center,Seattle,WA,academic,Oncology; Respiratory,Dr. Richard Lee,21,409
Site-494,Denver Regional Hospital,Denver,CO,community,Gastroenterology; Neurology,Dr. Lisa Smith,14,130
Site-495,Portland Regional Hospital,Portland,OR,community,Immunology,Dr. Jessica Clark,16,86
Site-496,San Diego Medical Center,San Diego,CA,academic,Respiratory; Gastroenterology; Oncology,Dr. Lisa White,14,491
Site-497,San Francisco Medical Center,San Francisco,CA,academic,Gastroenterology; Respiratory,Dr. Jessica Moore,19,400
Site-498,Minneapolis Medical Center,Minneapolis,MN,academic,Neurology; Endocrinology; Immunology,Dr. Sarah Lee,16,427
Site-499,Detroit Medical Center,Detroit,MI,academic,Neurology; Immunology; Cardiology,Dr. Christopher Lee,21,192
Site-500,Cleveland Medical Center,Cleveland,OH,academic,Neurology; Immunology,Dr. Susan Lee,19,412
